Index,City ID,City Name,Country Code,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
284,1795632,shenjiamen,cn,29.96,122.3,295.575,94,0,4.67
285,2964782,dingle,ie,52.14,-10.27,287.625,99,92,4.37
286,934479,grand gaube,mu,-20.01,57.66,296.15,83,75,0.5
287,2063056,port augusta,au,-32.49,137.76,288.15,87,90,2.6
288,3883629,la union,cl,-40.28,-73.08,277.375,98,92,1.22
289,1106643,quatre cocos,mu,-20.21,57.76,296.15,83,75,0.5
290,2267254,lagoa,pt,37.14,-8.45,288.15,87,0,2.1
291,3444105,san joaquin,bo,-16.38,-58.39,287.725,89,8,1.62
292,1270287,harpanahalli,in,14.8,75.98,295.425,97,92,8.57
293,4011743,constitucion,mx,23.99,-104.67,295.025,30,64,3.57
294,1861416,ishigaki,jp,24.34,124.16,305.15,75,75,9.8
295,359796,suez,eg,29.97,32.54,298.375,50,0,1.87
296,2030065,mandalgovi,mn,45.76,106.27,299.825,25,0,5.37
297,5108093,batavia,us,43.0,-78.19,286.4,93,1,2.6
298,4707173,livingston,us,30.71,-94.93,296.85,88,1,1.97
299,3652567,san cristobal,ec,-1.02,-79.44,288.425,92,48,0.62
300,2121385,severo-kurilsk,ru,50.68,156.12,278.475,93,8,1.62
301,2701713,karlskrona,se,56.16,15.59,291.15,82,20,2.6
302,2152668,portland,au,-33.35,149.98,283.025,91,68,1.52
303,2020871,lebedinyy,ru,58.52,125.52,294.475,41,0,1.57
304,3981460,coahuayana,mx,18.62,-100.35,291.025,95,64,1.02
305,1525798,balkhash,kz,46.84,74.98,299.275,60,68,4.77
306,2381334,atar,mr,20.52,-13.05,293.375,37,0,1.97
307,5887916,athabasca,ca,54.72,-113.29,292.725,63,36,5.92
308,2427336,moussoro,td,13.64,16.49,299.225,57,0,5.02
309,3391889,pitimbu,br,-7.47,-34.81,296.15,88,0,1.5
310,4588165,mount pleasant,us,32.79,-79.86,294.88,94,75,1.27
311,6067472,marystown,ca,47.17,-55.16,279.975,91,92,7.37
312,3437681,natalio,py,-26.76,-55.14,279.875,93,0,2.32
313,3452900,porto belo,br,-27.15,-48.54,285.15,87,0,2.1
314,6050066,la ronge,ca,55.1,-105.3,289.15,72,40,5.1
315,478050,ust-kulom,ru,61.69,53.69,280.775,99,92,3.12
316,2170139,cowra,au,-33.84,148.69,284.225,99,92,1.57
317,2121025,srednekolymsk,ru,67.46,153.71,285.425,58,32,2.07
318,5442007,trinidad,us,37.17,-104.5,290.56,29,1,10.3
319,352628,matay,eg,28.42,30.79,301.125,34,0,4.42
320,1028918,pemba,mz,-12.97,40.52,293.15,82,20,4.1
321,1005768,ellisras,za,-23.67,27.74,280.775,77,0,1.67
322,5554072,juneau,us,58.3,-134.42,282.48,71,75,0.87
323,3491355,black river,jm,18.03,-77.85,300.15,78,20,3.1
324,2012484,zima,ru,53.93,102.05,292.875,73,32,2.07
325,2063039,port keats,au,-14.25,129.55,304.325,47,0,2.52
326,2180815,tuatapere,nz,-46.13,167.69,284.275,97,88,5.72
327,3354077,opuwo,na,-18.06,13.84,277.425,53,0,2.87
328,2121197,sinegorye,ru,62.09,150.53,279.275,93,92,1.22
329,2092164,lorengau,pg,-2.02,147.27,302.125,100,56,3.02
330,3883457,lebu,cl,-37.62,-73.65,282.625,100,92,4.27
331,134602,fereydun kenar,ir,36.69,52.52,297.15,83,90,4.1
332,2123814,leningradskiy,ru,69.38,178.42,272.875,97,20,1.87
333,2039557,khasan,ru,42.43,130.64,289.325,81,24,3.12
334,1529651,altay,cn,47.83,88.13,291.375,37,12,0.62
335,2351979,agbor,ng,6.26,6.15,297.275,94,8,3.32
336,464343,zasechnoye,ru,53.11,45.08,284.275,76,12,4.42
337,5871146,palmer,us,61.6,-149.11,288.58,58,90,3.6
338,3550598,las tunas,cu,20.96,-76.96,299.225,76,88,5.47
339,2527089,tiznit,ma,29.7,-9.73,290.275,100,68,1.42
340,3457708,marica,br,-22.92,-42.82,293.15,88,75,2.1
341,4032420,neiafu,to,-18.65,-173.98,299.15,94,20,5.22
342,2649169,fort william,gb,56.82,-5.11,285.875,93,68,1.32
343,1252822,ganganagar,in,16.78,77.13,297.625,98,92,2.07
344,552465,kargopol,ru,61.51,38.95,282.175,69,24,6.42
345,588335,kardla,ee,58.44,26.57,286.15,68,0,3.6
346,5767918,pierre,us,44.37,-100.35,294.15,64,1,3.6
347,964712,plettenberg bay,za,-34.05,23.37,289.175,94,32,5.02
348,517172,novyye burasy,ru,52.13,46.08,289.15,48,0,4.0
349,2014624,udachnyy,ru,66.42,112.4,297.525,44,8,1.42
350,3573197,hamilton,bm,32.3,-64.78,298.15,88,20,4.6
351,1606239,si sa ket,th,15.12,104.33,305.15,70,75,6.2
352,364933,umm kaddadah,sd,13.6,26.69,301.025,38,0,3.52
353,3395458,maragogi,br,-9.01,-35.22,297.275,94,92,2.57
354,1282256,hithadhoo,mv,-0.6,73.08,301.625,100,76,4.22
355,1259385,port blair,in,11.67,92.75,301.725,100,64,12.57
356,556575,imeni morozova,ru,59.98,31.04,285.15,46,20,4.0
357,1651531,ambon,id,-3.7,128.18,300.425,97,92,4.72
358,556268,ostrovnoy,ru,68.05,39.51,276.275,100,92,5.87
359,778707,mehamn,no,71.03,27.85,277.675,92,88,2.42
360,2293428,adiake,ci,5.29,-3.3,300.15,88,40,3.6
361,3665098,barcelos,br,-0.97,-62.93,295.975,99,92,1.77
362,2068110,kununurra,au,-15.77,128.74,307.15,23,0,2.1
363,2126199,cherskiy,ru,68.75,161.3,284.925,62,0,1.77
364,1524243,georgiyevka,kz,43.04,74.71,298.875,44,20,3.47
365,6100069,peace river,ca,56.23,-117.29,291.575,46,92,1.62
366,1529376,korla,cn,41.76,86.15,301.875,34,8,1.87
367,2240449,luanda,ao,-8.83,13.24,292.15,88,40,1.0
368,6145890,shelburne,ca,44.08,-80.2,284.85,100,8,1.32
369,5799610,kennewick,us,46.21,-119.12,290.61,45,75,6.2
370,1045114,inhambane,mz,-23.87,35.38,292.325,100,0,1.42
371,779622,havoysund,no,71.0,24.66,279.15,70,40,2.6
372,1058381,morondava,mg,-20.3,44.28,294.725,94,0,1.87
373,3346015,sumbe,ao,-11.2,13.84,293.925,100,0,1.07
374,3029030,cambrai,fr,50.18,3.24,287.84,100,90,2.6
375,3420768,qasigiannguit,gl,68.82,-51.19,274.15,74,0,1.5
376,1562414,vung tau,vn,10.35,107.08,305.15,59,40,5.1
377,3024035,concarneau,fr,47.88,-3.92,290.8,88,56,3.1
378,2174444,bowen,au,-20.01,148.25,297.15,57,0,5.7
379,2234794,banyo,cm,6.75,11.81,291.725,98,100,0.72
380,3918937,cotoca,bo,-17.75,-63.0,288.15,93,40,5.7
381,6255012,flinders,au,-34.58,150.85,288.15,77,90,2.6
382,2014833,tura,ru,64.27,100.22,295.375,44,8,2.42
383,6113406,prince rupert,ca,54.32,-130.32,281.15,93,75,1.5
384,286245,sur,om,22.57,59.53,306.425,77,0,1.92
385,2090021,namatanai,pg,-3.66,152.44,302.775,94,68,3.37
386,2016708,shilka,ru,51.85,116.03,293.225,75,8,2.02
387,3466980,caravelas,br,-17.73,-39.27,295.675,100,92,6.62
388,1509844,boguchany,ru,58.38,97.46,291.575,65,56,2.07
389,2137773,vao,nc,-22.67,167.48,295.725,100,48,7.17
390,2619154,kalundborg,dk,55.68,11.1,293.15,52,24,3.6
391,103630,najran,sa,17.54,44.22,306.15,21,0,1.97
392,468030,yelatma,ru,54.97,41.75,283.925,87,8,4.62
393,6111862,port hardy,ca,50.7,-127.42,282.15,93,75,1.5
394,152663,mugumu,tz,-1.84,34.67,291.425,85,8,1.62
395,6690295,saint-denis,re,-20.87,55.47,298.5,69,40,2.1
396,1529484,hami,cn,42.84,93.51,303.525,28,56,6.27
397,2159220,mackay,au,-21.15,149.2,297.15,69,48,7.7
398,1488414,urengoy,ru,65.96,78.37,279.275,100,92,5.72
399,3899539,antofagasta,cl,-23.65,-70.4,286.15,82,90,2.6
400,1800882,xiaoshi,cn,30.59,116.63,295.625,95,88,2.07
